channel_number,service_name,service_type,provider_name,video_type,service_id,pmt_pid,video_pid,audio_pid,pcr_pid,teletext_pid,satellite_type,ts_id,network_id,modulation,frequency,polarization,symbol_rate,fec,transport_spec,cas_type
28,ServusTV HD Deutschland,TV,,HD,0x1332,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03EF,0x01,Sat,11303,H,22000,auto,DVB-S2,FTA
29,KIKA HD,TV,,HD,0x2B98,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03F2,0x01,Sat,11347,V,22000,auto,DVB-S2,FTA
30,NICK/COMEDY,TV,,SD,0x7008,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0436,0x01,Sat,11973,V,27500,auto,DVB-S,FTA
31,ANIXE HD,TV,,HD,0x526C,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x041D,0x01,Sat,10773,H,22000,auto,DVB-S2,FTA
32,Disney Channel,TV,,SD,0x0701,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0005,0x85,Sat,12460,H,27500,auto,DVB-S,FTA
33,TELE 5,TV,BetaDigital,SD,0x0033,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0021,0x85,Sat,12480,V,27500,auto,DVB-S,FTA
34,SIXX,TV,,SD,0x0308,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0005,0x85,Sat,12460,H,27500,auto,DVB-S,FTA
35,DMAX,TV,,SD,0x003F,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0021,0x85,Sat,12480,V,27500,auto,DVB-S,FTA
36,SAT.1 Gold,TV,,SD,0x4460,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0453,0x01,Sat,12545,H,22000,auto,DVB-S,FTA
37,ProSieben MAXX,TV,,SD,0x4461,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0453,0x01,Sat,12545,H,22000,auto,DVB-S,FTA
38,RTLNITRO,TV,,SD,0x2F1D,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0441,0x01,Sat,12188,H,27500,auto,DVB-S,FTA
39,Welt der Wunder,TV,,SD,0x332F,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA
40,SPORT1,TV,,SD,0x0384,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0021,0x85,Sat,12480,V,27500,auto,DVB-S,FTA
41,Eurosport Deutschland,TV,,SD,0x79E0,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0443,0x01,Sat,12226,H,27500,auto,DVB-S,FTA
42,DELUXE MUSIC,TV,,SD,0x0041,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0007,0x85,Sat,12148,H,27500,auto,DVB-S,FTA
43,VIVA Germany,TV,,SD,0x7004,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0436,0x01,Sat,11973,V,27500,auto,DVB-S,FTA
44,iM1,TV,,SD,0x0304,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0005,0x85,Sat,12460,H,27500,auto,DVB-S,FTA
45,GoTV,TV,GoTV,SD,0x332E,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA
46,joiz,TV,,SD,0x004A,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0005,0x85,Sat,12460,H,27500,auto,DVB-S,FTA
47,MELODIE TV,TV,,SD,0x33AD,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x032B,0x01,Sat,11243,H,22000,auto,DVB-S,FTA
48,Folx TV,TV,,SD,0x32DA,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x045D,0x01,Sat,12692,H,22000,auto,DVB-S,FTA
49,Deutsches Musik Fernsehen,TV,,SD,0x313C,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0459,0x01,Sat,12633,H,22000,auto,DVB-S,FTA
50,Sonnenklar.TV HD,TV,,HD,0x1518,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0455,0x01,Sat,12574,H,22000,auto,DVB-S2,FTA
51,HSE24 HD,TV,,HD,0x5270,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x041D,0x01,Sat,10773,H,22000,auto,DVB-S2,FTA
52,HSE24 Extra HD,TV,,HD,0x157D,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x041F,0x01,Sat,10802,H,22000,auto,DVB-S2,FTA
53,QVC HD,TV,,HD,0x526F,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x041D,0x01,Sat,10773,H,22000,auto,DVB-S2,FTA
54,QVC Plus HD,TV,,HD,0x1580,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x041F,0x01,Sat,10802,H,22000,auto,DVB-S2,FTA
55,juwelo TV HD,TV,,HD,0x151B,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0455,0x01,Sat,12574,H,22000,auto,DVB-S2,FTA
56,pearl.tv HD,TV,,HD,0x151C,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0455,0x01,Sat,12574,H,22000,auto,DVB-S2,FTA
57,1-2-3.tv HD,TV,,HD,0x157E,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x041F,0x01,Sat,10802,H,22000,auto,DVB-S2,FTA
58,collection,TV,,SD,0x0293,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0005,0x85,Sat,12460,H,27500,auto,DVB-S,FTA
59,Channel 21,TV,,SD,0x2F30,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0441,0x01,Sat,12188,H,27500,auto,DVB-S,FTA
60,n-tv,TV,RTL World,SD,0x2F3A,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0441,0x01,Sat,12188,H,27500,auto,DVB-S,FTA
61,N24,TV,ProSiebenSat.1,SD,0x445F,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0453,0x01,Sat,12545,H,22000,auto,DVB-S,FTA
62,BBC World,TV,BBC,SD,0x2742,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0402,0x01,Sat,11597,V,22000,auto,DVB-S,FTA
63,CNN Int.,TV,CNN,SD,0x6F6A,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x042C,0x01,Sat,11778,V,27500,auto,DVB-S,FTA
64,EuroNews,TV,GlobeCast,SD,0x79F4,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0443,0x01,Sat,12226,H,27500,auto,DVB-S,FTA
65,CNBC Europe,TV,CNBC,SD,0x272E,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0402,0x01,Sat,11597,V,22000,auto,DVB-S,FTA
66,Al Jazeera English,TV,,SD,0x1B64,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03FC,0x01,Sat,11508,V,22000,auto,DVB-S,FTA
67,TV5MONDE EUROPE,TV,,SD,0x1B03,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03FE,0x01,Sat,11538,V,22000,auto,DVB-S,FTA
68,Dr.DishTV-Welt der Technik,TV,,SD,0x1523,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0455,0x01,Sat,12574,H,22000,auto,DVB-S2,FTA
69,AstroTV,TV,BetaDigital,SD,0x0295,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0021,0x85,Sat,12480,V,27500,auto,DVB-S,FTA
70,BR-alpha,TV,ARD,SD,0x6F47,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0445,0x01,Sat,12266,H,27500,auto,DVB-S,FTA
71,WDR HD Aachen,TV,,HD,0x6F76,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0457,0x01,Sat,12604,H,22000,auto,DVB-S,FTA
72,WDR HD Bielefeld,TV,,HD,0x6E92,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x04B1,0x01,Sat,12422,H,27500,auto,DVB-S,FTA
73,WDR HD Dortmund,TV,,HD,0x6E93,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x04B1,0x01,Sat,12422,H,27500,auto,DVB-S,FTA
74,WDR HD Düsseldorf,TV,,HD,0x6E94,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x04B1,0x01,Sat,12422,H,27500,auto,DVB-S,FTA
75,WDR HD Essen,TV,,HD,0x6E95,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x04B1,0x01,Sat,12422,H,27500,auto,DVB-S,FTA
76,WDR HD Münster,TV,,HD,0x6E96,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x04B1,0x01,Sat,12422,H,27500,auto,DVB-S,FTA
77,WDR HD Siegen,TV,,HD,0x6E97,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x04B1,0x01,Sat,12422,H,27500,auto,DVB-S,FTA
78,WDR HD Wuppertal,TV,,HD,0x6F81,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0457,0x01,Sat,12604,H,22000,auto,DVB-S,FTA
79,BR Nord HD,TV,,HD,0x2856,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0401,0x01,Sat,11582,H,22000,auto,DVB-S2,FTA
80,SWR RP HD,TV,,HD,0x2840,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03FB,0x01,Sat,11494,H,22000,auto,DVB-S2,FTA
81,NDR FS MV HD,TV,,HD,0x2858,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0401,0x01,Sat,11582,H,22000,auto,DVB-S2,FTA
82,NDR FS NDS HD,TV,,HD,0x2857,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0401,0x01,Sat,11582,H,22000,auto,DVB-S2,FTA
83,NDR FS SH HD,TV,,HD,0x285A,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0401,0x01,Sat,11582,H,22000,auto,DVB-S2,FTA
84,MDR Sachsen HD,TV,ARD,HD,0x2870,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0425,0x01,Sat,10891,H,22000,auto,DVB-S2,FTA
85,MDR THÜRINGEN HD,TV,ARD,HD,0x2872,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0425,0x01,Sat,10891,H,22000,auto,DVB-S2,FTA
86,RBB Brandenburg HD,TV,,HD,0x286E,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0425,0x01,Sat,10891,H,22000,auto,DVB-S2,FTA
87,INTV,TV,,SD,0x11FA,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03FD,0x01,Sat,11523,H,22000,auto,DVB-S,FTA
88,rfo Regional Oberbayern,TV,,SD,0x11FD,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03FD,0x01,Sat,11523,H,22000,auto,DVB-S,FTA
89,Ulm-Allgäu,TV,,SD,0x11FB,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03FD,0x01,Sat,11523,H,22000,auto,DVB-S,FTA
90,rhein main tv,TV,T-Systems,SD,0x3146,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0459,0x01,Sat,12633,H,22000,auto,DVB-S,FTA
91,Franken Fernsehen,TV,,SD,0x11F9,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03FD,0x01,Sat,11523,H,22000,auto,DVB-S,FTA
92,münchen.tv,TV,,SD,0x11FC,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03FD,0x01,Sat,11523,H,22000,auto,DVB-S,FTA
93,Mainfranken,TV,,SD,0x11FE,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03FD,0x01,Sat,11523,H,22000,auto,DVB-S,FTA
94,TV Oberfranken,TV,,SD,0x11FF,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03FD,0x01,Sat,11523,H,22000,auto,DVB-S,FTA
95,TVA-OTV,TV,,SD,0x1200,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03FD,0x01,Sat,11523,H,22000,auto,DVB-S,FTA
96,Niederbayern,TV,,SD,0x1201,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03FD,0x01,Sat,11523,H,22000,auto,DVB-S,FTA
97,RNF,TV,,SD,0x0300,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0007,0x85,Sat,12148,H,27500,auto,DVB-S,FTA
98,Lokal TV Portal,TV,,SD,0x1252,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03FD,0x01,Sat,11523,H,22000,auto,DVB-S,FTA
