channel_number,service_name,service_type,provider_name,video_type,service_id,pmt_pid,video_pid,audio_pid,pcr_pid,teletext_pid,satellite_type,ts_id,network_id,modulation,frequency,polarization,symbol_rate,fec,transport_spec,cas_type
17,Kabel 1 Austria,TV,ProSiebenSat.1,SD,0x4E24,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x043A,0x01,Sat,12051,V,27500,auto,DVB-S,FTA
18,RTL Austria,TV,RTL World,SD,0x7080,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0443,0x01,Sat,12226,H,27500,auto,DVB-S,FTA
19,RTL2 Austria,TV,RTL World,SD,0x708A,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0443,0x01,Sat,12226,H,27500,auto,DVB-S,FTA
20,RTLNITRO,TV,,SD,0x2F1D,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0441,0x01,Sat,12188,H,27500,auto,DVB-S,FTA
21,VOX Austria,TV,RTL World,SD,0x7085,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0443,0x01,Sat,12226,H,27500,auto,DVB-S,FTA
22,Super RTL A,TV,RTL World,SD,0x708F,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0443,0x01,Sat,12226,H,27500,auto,DVB-S,FTA
23,sixx Austria,TV,,SD,0x3332,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA
24,NICK/CC AUT,TV,,SD,0x003D,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0007,0x85,Sat,12148,H,27500,auto,DVB-S,FTA
25,VIVA Austria,TV,,SD,0x003C,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0007,0x85,Sat,12148,H,27500,auto,DVB-S,FTA
26,MELODIE TV,TV,,SD,0x33AD,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03EB,0x01,Sat,11244,H,22000,auto,DVB-S,FTA
27,N24 Austria,TV,,SD,0x0035,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0007,0x85,Sat,12148,H,27500,auto,DVB-S,FTA
28,TELE 5,TV,BetaDigital,SD,0x0033,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0021,0x85,Sat,12480,V,27500,auto,DVB-S,FTA
29,ANIXE HD,TV,,HD,0x526C,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x041D,0x01,Sat,10773,H,22000,auto,DVB-S2,FTA
30,Disney Channel,TV,,SD,0x0701,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0005,0x85,Sat,12460,H,27500,auto,DVB-S,FTA
