channel_number,service_name,service_type,provider_name,video_type,service_id,pmt_pid,video_pid,audio_pid,pcr_pid,teletext_pid,satellite_type,ts_id,network_id,modulation,frequency,polarization,symbol_rate,fec,transport_spec,cas_type
56,Bloomberg European TV,TV,Arqiva,SD,0x1C86,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x332C,0x13E,Sat,11137,H,27500,auto,DVB-S,FTA
57,Al Jazeera,TV,Telespazio,SD,0x02C4,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x1B58,0x13E,Sat,12111,V,27500,auto,DVB-S,FTA
58,Al Jazeera Intl,TV,GlobeCast,SD,0x06B2,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x3138,0x13E,Sat,11034,V,27500,auto,DVB-S,FTA
59,Canal 24 Horas,TV,Telefonica Spain,SD,0x3590,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x1388,0x13E,Sat,11727,V,27500,auto,DVB-S,FTA
60,TV5MONDE EUROPE,TV,Arqiva,SD,0x1C9A,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x332C,0x13E,Sat,11137,H,27500,auto,DVB-S,FTA
61,DW Europe,TV,MEDIA BROADCAST,SD,0x025F,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x3C8C,0x13E,Sat,11604,H,27500,auto,DVB-S,FTA
62,NHK World,TV,Arqiva,SD,0x1C9F,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x332C,0x13E,Sat,11137,H,27500,auto,DVB-S,FTA
63,TVE Internacional,TV,Telefonica Spain,SD,0x358E,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x1388,0x13E,Sat,11727,V,27500,auto,DVB-S,FTA
64,SMtv San Marino,TV,Eutelsat,SD,0x1C55,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x1C20,0x13E,Sat,12149,V,27500,auto,DVB-S,FTA
65,TV K-C,TV,STN Ltd,SD,0x0C83,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x2328,0x13E,Sat,12520,V,27500,auto,DVB-S,FTA
66,Juwelo,TV,MEDIA BROADCAST,SD,0x027E,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x3C8C,0x13E,Sat,11604,H,27500,auto,DVB-S,FTA
67,Rai 3 TGR FVG,TV,RAI,SD,0x0D4B,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x1450,0x13E,Sat,11766,V,27500,auto,DVB-S,FTA
68,People TV-Rete 7,TV,People TV-Rete 7,SD,0x1C58,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x1C20,0x13E,Sat,12149,V,27500,auto,DVB-S,FTA
69,Liguria TV,TV,Telespazio,SD,0x4507,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x258,0x13E,Sat,11317,V,27500,auto,DVB-S,FTA
70,TELEPADREPIO,TV,Arqiva,SD,0x132E,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x33F4,0x13E,Sat,11179,H,27500,auto,DVB-S,FTA
71,LA7ondemand,TV,TIMB,SD,0x0E1E,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x708,0xC8,Sat,11541,V,22000,auto,DVB-S,FTA
72,RETE ASTE,TV,Satlink,SD,0x0726,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x578,0x13E,Sat,11470,V,27500,auto,DVB-S,FTA
73,TVA VICENZA,TV,Satlink,SD,0x087A,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x578,0x13E,Sat,11470,V,27500,auto,DVB-S,FTA
74,CUBOVISION,TV,TIMB,SD,0x0E12,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x708,0xC8,Sat,11541,V,22000,auto,DVB-S,FTA
