channel_number,service_name,service_type,provider_name,video_type,service_id,pmt_pid,video_pid,audio_pid,pcr_pid,teletext_pid,satellite_type,ts_id,network_id,modulation,frequency,polarization,symbol_rate,fec,transport_spec,cas_type
28,ServusTV HD Deutschland,TV,,HD,0x1332,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03EF,0x01,Sat,11303,H,22000,auto,DVB-S2,FTA
29,KIKA HD,TV,,HD,0x2B98,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03F2,0x01,Sat,11347,V,22000,auto,DVB-S2,FTA
30,NICK/CC HD,TV,,HD,0x5273,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x041D,0x01,Sat,10773,H,22000,auto,DVB-S2,NA
31,Disney Channel HD,TV,,HD,0x157C,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x041F,0x01,Sat,10802,H,22000,auto,DVB-S2,NA
32,ANIXE HD,TV,,HD,0x526C,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x041D,0x01,Sat,10773,H,22000,auto,DVB-S2,FTA
33,DAS VIERTE,TV,,SD,0x0701,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0005,0x85,Sat,12460,H,27500,auto,DVB-S,FTA
34,TELE 5 HD,TV,,HD,0x1519,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0455,0x01,Sat,12574,H,22000,auto,DVB-S2,NA
35,SIXX HD,TV,,HD,0xEF77,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03F9,0x01,Sat,11464,H,22000,auto,DVB-S2,NA
36,DMAX HD,TV,,HD,0x151A,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0455,0x01,Sat,12574,H,22000,auto,DVB-S2,NA
37,TLC HD,TV,,HD,0x2774,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0409,0x01,Sat,10964,H,22000,auto,DVB-S2,NA
38,SAT.1 Gold,TV,,SD,0x4460,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0453,0x01,Sat,12545,H,22000,auto,DVB-S,FTA
39,ProSieben MAXX HD,TV,,HD,0xEF78,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03F9,0x01,Sat,11464,H,22000,auto,DVB-S2,NA
40,RTLNITRO HD,TV,,HD,0x2EAF,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0411,0x01,Sat,11082,H,22000,auto,DVB-S2,NA
41,Welt der Wunder,TV,,SD,0x332F,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA
42,SPORT1 HD,TV,,HD,0x1581,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x041F,0x01,Sat,10802,H,22000,auto,DVB-S2,NA
43,Eurosport Deutschland,TV,,SD,0x79E0,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0443,0x01,Sat,12226,H,27500,auto,DVB-S,FTA
44,Deluxe Music HD,TV,,HD,0x157F,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x041F,0x01,Sat,10802,H,22000,auto,DVB-S2,NA
45,VIVA Germany,TV,,SD,0x7004,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0436,0x01,Sat,11973,V,27500,auto,DVB-S,FTA
46,iM1,TV,,SD,0x5278,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x041D,0x01,Sat,10773,H,22000,auto,DVB-S2,FTA
47,GoTV,TV,GoTV,SD,0x332E,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA
48,joiz,TV,,SD,0x004A,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0005,0x85,Sat,12460,H,27500,auto,DVB-S,FTA
49,MELODIE TV,TV,,SD,0x33AD,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03EB,0x01,Sat,11243,H,22000,auto,DVB-S,FTA
50,Folx TV,TV,,SD,0x32DA,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x045D,0x01,Sat,12692,H,22000,auto,DVB-S,FTA
51,Deutsches Musik Fernsehen,TV,,SD,0x313C,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0459,0x01,Sat,12633,H,22000,auto,DVB-S,FTA
52,Sonnenklar.TV HD,TV,,HD,0x1518,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0455,0x01,Sat,12574,H,22000,auto,DVB-S2,FTA
53,HSE24 HD,TV,,HD,0x5270,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x041D,0x01,Sat,10773,H,22000,auto,DVB-S2,FTA
54,HSE24 EXTRA HD,TV,,HD,0x157D,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x041F,0x01,Sat,10802,H,22000,auto,DVB-S2,FTA
55,QVC HD,TV,,HD,0x526F,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x041D,0x01,Sat,10773,H,22000,auto,DVB-S2,FTA
56,QVC PLUS HD,TV,,HD,0x1580,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x041F,0x01,Sat,10802,H,22000,auto,DVB-S2,FTA
57,juwelo TV HD,TV,,HD,0x151B,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0455,0x01,Sat,12574,H,22000,auto,DVB-S2,FTA
58,pearl.tv HD,TV,,HD,0x151C,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0455,0x01,Sat,12574,H,22000,auto,DVB-S2,FTA
59,1-2-3.tv HD,TV,,HD,0x157E,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x041F,0x01,Sat,10802,H,22000,auto,DVB-S2,FTA
60,collection,TV,,SD,0x0293,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0005,0x85,Sat,12460,H,27500,auto,DVB-S,FTA
61,n-tv HD,TV,,HD,0xEF14,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0421,0x01,Sat,10832,H,22000,auto,DVB-S2,NA
62,N24 HD,TV,,HD,0x5274,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x041D,0x01,Sat,10773,H,22000,auto,DVB-S2,NA
63,BBC World,TV,BBC,SD,0x2742,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0402,0x01,Sat,11597,V,22000,auto,DVB-S,FTA
64,CNN Int.,TV,CNN,SD,0x6F6A,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x042C,0x01,Sat,11778,V,27500,auto,DVB-S,FTA
65,EuroNews,TV,GlobeCast,SD,0x79F4,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0443,0x01,Sat,12226,H,27500,auto,DVB-S,FTA
66,CNBC Europe,TV,CNBC,SD,0x272E,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0402,0x01,Sat,11597,V,22000,auto,DVB-S,FTA
67,Al Jazeera English,TV,,SD,0x1B64,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03FC,0x01,Sat,11508,V,22000,auto,DVB-S,FTA
68,TV5MONDE EUROPE,TV,,SD,0x1B03,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03FE,0x01,Sat,11538,V,22000,auto,DVB-S,FTA
69,TecTime TV,TV,,SD,0x1523,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0455,0x01,Sat,12574,H,22000,auto,DVB-S2,FTA
70,AstroTV,TV,BetaDigital,SD,0x0295,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0021,0x85,Sat,12480,V,27500,auto,DVB-S,FTA
71,BR-alpha,TV,ARD,SD,0x6F47,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0445,0x01,Sat,12266,H,27500,auto,DVB-S,FTA
72,WDR HD Aachen,TV,,HD,0x6F76,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0457,0x01,Sat,12604,H,22000,auto,DVB-S,FTA
73,WDR HD Bielefeld,TV,,HD,0x6E92,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x04B1,0x01,Sat,12422,H,27500,auto,DVB-S,FTA
74,WDR HD Dortmund,TV,,HD,0x6E93,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x04B1,0x01,Sat,12422,H,27500,auto,DVB-S,FTA
75,WDR Düsseldorf HD,TV,,HD,0x6E94,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x04B1,0x01,Sat,12422,H,27500,auto,DVB-S,FTA
76,WDR HD Essen,TV,,HD,0x6E95,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x04B1,0x01,Sat,12422,H,27500,auto,DVB-S,FTA
77,WDR Münster HD,TV,,HD,0x6E96,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x04B1,0x01,Sat,12422,H,27500,auto,DVB-S,FTA
78,WDR HD Siegen,TV,,HD,0x6E97,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x04B1,0x01,Sat,12422,H,27500,auto,DVB-S,FTA
79,WDR HD Wuppertal,TV,,HD,0x6F81,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0457,0x01,Sat,12604,H,22000,auto,DVB-S,FTA
80,BR Nord HD,TV,,HD,0x2856,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0401,0x01,Sat,11582,H,22000,auto,DVB-S2,FTA
81,SWR RP HD,TV,,HD,0x2840,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03FB,0x01,Sat,11494,H,22000,auto,DVB-S2,FTA
82,NDR FS MV HD,TV,,HD,0x2858,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0401,0x01,Sat,11582,H,22000,auto,DVB-S2,FTA
83,NDR FS NDS HD,TV,,HD,0x2857,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0401,0x01,Sat,11582,H,22000,auto,DVB-S2,FTA
84,NDR FS SH HD,TV,,HD,0x285A,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0401,0x01,Sat,11582,H,22000,auto,DVB-S2,FTA
85,MDR Sachsen HD,TV,,HD,0x2870,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0425,0x01,Sat,10891,H,22000,auto,DVB-S2,FTA
86,MDR THÜRINGEN,TV,,HD,0x2872,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0425,0x01,Sat,10891,H,22000,auto,DVB-S2,FTA
87,rbb Brandenburg HD,TV,,HD,0x286E,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0425,0x01,Sat,10891,H,22000,auto,DVB-S2,FTA
88,INTV,TV,,SD,0x11FA,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03FD,0x01,Sat,11523,H,22000,auto,DVB-S,FTA
89,rfo Regional Oberbayern,TV,,SD,0x11FD,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03FD,0x01,Sat,11523,H,22000,auto,DVB-S,FTA
90,Ulm-Allgäu,TV,,SD,0x11FB,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03FD,0x01,Sat,11523,H,22000,auto,DVB-S,FTA
91,rhein main tv,TV,T-Systems,SD,0x3146,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0459,0x01,Sat,12633,H,22000,auto,DVB-S,FTA
92,Franken Fernsehen,TV,,SD,0x11F9,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03FD,0x01,Sat,11523,H,22000,auto,DVB-S,FTA
93,münchen.tv,TV,,SD,0x11FC,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03FD,0x01,Sat,11523,H,22000,auto,DVB-S,FTA
94,Mainfranken,TV,,SD,0x11FE,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03FD,0x01,Sat,11523,H,22000,auto,DVB-S,FTA
95,TV Oberfranken,TV,,SD,0x11FF,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03FD,0x01,Sat,11523,H,22000,auto,DVB-S,FTA
96,TVA-OTV,TV,,SD,0x1200,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03FD,0x01,Sat,11523,H,22000,auto,DVB-S,FTA
97,Niederbayern,TV,,SD,0x1201,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03FD,0x01,Sat,11523,H,22000,auto,DVB-S,FTA
98,RNF,TV,,SD,0x0300,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0007,0x85,Sat,12148,H,27500,auto,DVB-S,FTA
