channel_number,service_name,service_type,provider_name,video_type,service_id,pmt_pid,video_pid,audio_pid,pcr_pid,teletext_pid,satellite_type,ts_id,network_id,modulation,frequency,polarization,symbol_rate,fec,transport_spec,cas_type,
49,MDR FIGARO,RADIO,,SD,0x6F0F,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
50,MDR JUMP,RADIO,,SD,0x6F10,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
51,MDR SPUTNIK,RADIO,,SD,0x6F11,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
52,MDR INFO,RADIO,,SD,0x6F12,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
53,MDR KLASSIK,RADIO,,SD,0x6F13,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
54,NDR 2,RADIO,,SD,0x6F15,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
55,NDR Kultur,RADIO,,SD,0x6F16,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
56,NDR Info,RADIO,,SD,0x6F17,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
57,N-JOY,RADIO,,SD,0x6F18,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
58,NDR 90.3,RADIO,,SD,0x6F19,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
59,NDR1WelleNord,RADIO,,SD,0x6F1A,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
60,NDR 1 Radio MV,RADIO,,SD,0x6F1B,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
61,NDR 1 Nieders.,RADIO,,SD,0x6F1C,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
62,NDR Info Spez.,RADIO,,SD,0x6F1D,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
63,NDR Blue,RADIO,,SD,0x6F1E,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
64,Bremen Eins,RADIO,,SD,0x6F20,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
65,Bremen Vier,RADIO,,SD,0x6F22,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
66,Kulturradio,RADIO,,SD,0x6F25,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
67,Nordwestradio,RADIO,,SD,0x6F21,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
68,Inforadio,RADIO,,SD,0x6F24,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
69,SR 1 Europawelle,RADIO,,SD,0x6F2D,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
70,SR 2 KulturRadio,RADIO,,SD,0x6F2E,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
71,SR 3 Saarlandwelle,RADIO,,SD,0x6F2F,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
72,SWR1 BW,RADIO,,SD,0x6F31,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
73,SWR1 RP,RADIO,,SD,0x6F32,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
74,SWR2,RADIO,,SD,0x6F33,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
75,SWR3,RADIO,,SD,0x6F34,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
76,SWR4 BW,RADIO,,SD,0x6F35,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
77,SWR4 RP,RADIO,,SD,0x6F36,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
78,DASDING,RADIO,,SD,0x6F37,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
79,SWRinfo,RADIO,,SD,0x6F38,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
80,1LIVE,RADIO,,SD,0x6F3B,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
81,WDR 2,RADIO,,SD,0x6F3C,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
82,WDR 3,RADIO,,SD,0x6F3D,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
83,WDR 4,RADIO,,SD,0x6F3E,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
84,WDR 5,RADIO,,SD,0x6F3F,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
85,WDR Funkhaus Europa,RADIO,,SD,0x6F40,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
86,1LIVE diggi,RADIO,,SD,0x6F41,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
87,KIRAKA,RADIO,,SD,0x6F42,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
88,WDR Event,RADIO,,SD,0x6F43,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
89,HOPE Channel Radio,RADIO,,SD,0x00AF,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0005,0x85,Sat,12460,H,27500,auto,DVB-S,FTA,
90,domradio,RADIO,,SD,0x00AB,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0005,0x85,Sat,12460,H,27500,auto,DVB-S,FTA,
91,egoFM,RADIO,,SD,0x00AC,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0005,0x85,Sat,12460,H,27500,auto,DVB-S,FTA,
92,harmony.fm,RADIO,,SD,0x3176,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0459,0x01,Sat,12633,H,22000,auto,DVB-S,FTA,
93,Radio Regenbogen,RADIO,,SD,0x3177,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0459,0x01,Sat,12633,H,22000,auto,DVB-S,FTA,
94,SCHLAGERPARADIES,RADIO,,SD,0x3172,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0459,0x01,Sat,12633,H,22000,auto,DVB-S,FTA,
95,Klassik Radio,RADIO,,SD,0x00AD,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0005,0x85,Sat,12460,H,27500,auto,DVB-S,FTA,
96,JAM FM,RADIO,,SD,0x00B1,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0005,0x85,Sat,12460,H,27500,auto,DVB-S,FTA,
97,Inselradio,RADIO,,SD,0x316B,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0459,0x01,Sat,12633,H,22000,auto,DVB-S,FTA,
98,radio top40,RADIO,,SD,0x316C,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0459,0x01,Sat,12633,H,22000,auto,DVB-S,FTA,
99,ERF Pop,RADIO,,SD,0x00A2,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0007,0x85,Sat,12148,H,27500,auto,DVB-S,FTA,
