channel_number,service_name,service_type,provider_name,video_type,service_id,pmt_pid,video_pid,audio_pid,pcr_pid,teletext_pid,satellite_type,ts_id,network_id,modulation,frequency,polarization,symbol_rate,fec,transport_spec,cas_type,
34,N24,TV,,SD,0x445F,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0453,0x01,Sat,12545,H,22000,auto,DVB-S,FTA,
35,n-tv,TV,,SD,0x2F3A,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0441,0x01,Sat,12188,H,27500,auto,DVB-S,FTA,
36,EuroNews,TV,,SD,0x79F4,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0443,0x01,Sat,12226,H,27500,auto,DVB-S,FTA,
37,arte HD,TV,,HD,0x283E,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x03FB,0x01,Sat,11494,H,22000,auto,DVB-S2,FTA,
38,3sat HD,TV,,HD,0x2B8E,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x03F2,0x01,Sat,11347,V,22000,auto,DVB-S2,FTA,
39,DAF Neu,TV,,SD,0x33AB,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x03EB,0x01,Sat,11244,H,22000,auto,DVB-S,FTA,
40,ARD-alpha,TV,,SD,0x6F47,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
41,PHOENIX HD,TV,,HD,0x285B,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0401,0x01,Sat,11582,H,22000,auto,DVB-S2,FTA,
42,SPORT1,TV,,SD,0x0384,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0021,0x85,Sat,12480,V,27500,auto,DVB-S,FTA,
43,Eurosport Deutschland,TV,,SD,0x79E0,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0443,0x01,Sat,12226,H,27500,auto,DVB-S,FTA,
44,LT1-OOE,TV,,SD,0x3330,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA,
45,Schau TV,TV,,SD,0x33A9,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x03EB,0x01,Sat,11244,H,22000,auto,DVB-S,FTA,
46,BTV,TV,,SD,0x3355,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA,
47,tagesschau24HD,TV,,HD,0x2887,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x040F,0x01,Sat,11052,H,22000,auto,DVB-S2,FTA,
48,EinsFestival HD,TV,,HD,0x2888,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x040F,0x01,Sat,11052,H,22000,auto,DVB-S2,FTA,
49,EinsPlus HD,TV,,HD,0x2889,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x040F,0x01,Sat,11052,H,22000,auto,DVB-S2,FTA,
50,ZDFinfo HD,TV,,HD,0x2BA2,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x03F2,0x01,Sat,11347,V,22000,auto,DVB-S2,FTA,
51,zdf_neo HD,TV,,HD,0x2B7A,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x03F3,0x01,Sat,11361,H,22000,auto,DVB-S2,FTA,
52,zdf.kultur HD,TV,,HD,0x2B84,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x03F3,0x01,Sat,11361,H,22000,auto,DVB-S2,FTA,
53,ORF2N HD,TV,,HD,0x1334,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x03EF,0x01,Sat,11303,H,22000,auto,DVB-S2,IR,
54,ORF2St HD,TV,,HD,0x33F5,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x03ED,0x01,Sat,11273,H,22000,auto,DVB-S2,IR,
55,ORF2K HD,TV,,HD,0x33F6,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x03ED,0x01,Sat,11273,H,22000,auto,DVB-S2,IR,
56,ORF2B HD,TV,,HD,0x33F7,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x03ED,0x01,Sat,11273,H,22000,auto,DVB-S2,IR,
57,ORF2O HD,TV,,HD,0x33F8,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x03ED,0x01,Sat,11273,H,22000,auto,DVB-S2,IR,
58,ORF2S HD,TV,,HD,0x33F9,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x03ED,0x01,Sat,11273,H,22000,auto,DVB-S2,IR,
59,ORF2T HD,TV,,HD,0x33FA,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x03ED,0x01,Sat,11273,H,22000,auto,DVB-S2,IR,
60,ORF2V HD,TV,,HD,0x33FB,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x03ED,0x01,Sat,11273,H,22000,auto,DVB-S2,IR,
61,gotv,TV,,SD,0x32DD,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x045D,0x01,Sat,12692,H,22000,auto,DVB-S,FTA,
62,DELUXE MUSIC,TV,,SD,0x0041,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0007,0x85,Sat,12148,H,27500,auto,DVB-S,FTA,
63,joiz,TV,,SD,0x004A,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0005,0x85,Sat,12460,H,27500,auto,DVB-S,FTA,
64,D17,TV,,SD,0x1FBC,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0434,0x01,Sat,11934,V,27500,auto,DVB-S,FTA,
65,Folx TV,TV,,SD,0x32DA,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x045D,0x01,Sat,12692,H,22000,auto,DVB-S,FTA,
66,MELODIE TV,TV,,SD,0x33AD,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x03EB,0x01,Sat,11244,H,22000,auto,DVB-S,FTA,
67,Deutsches Musik Fernsehen,TV,,SD,0x313C,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0459,0x01,Sat,12633,H,22000,auto,DVB-S,FTA,
68,HITRADIO OE3,TV,,SD,0x32D5,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x045D,0x01,Sat,12692,H,22000,auto,DVB-S,FTA,
69,nice,TV,,SD,0x315A,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0459,0x01,Sat,12633,H,22000,auto,DVB-S,FTA,
70,Volksmusik,TV,,SD,0x33A6,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x03EB,0x01,Sat,11244,H,22000,auto,DVB-S,FTA,
71,Starparadies AT,TV,,SD,0x33AA,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x03EB,0x01,Sat,11244,H,22000,auto,DVB-S,FTA,
72,Fashion One,TV,,SD,0x1263,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x03F7,0x01,Sat,11420,H,22000,auto,DVB-S,FTA,
