channel_number,service_name,service_type,provider_name,video_type,service_id,pmt_pid,video_pid,audio_pid,pcr_pid,teletext_pid,satellite_type,ts_id,network_id,modulation,frequency,polarization,symbol_rate,fec,transport_spec,cas_type
29,RTL Nitro,TV,,SD,0x2F1D,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0441,0x01,Sat,12188,H,27500,auto,DVB-S,FTA
30,Prosieben MAXX,TV,,SD,0x4461,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0453,0x01,Sat,12545,H,22000,auto,DVB-S,FTA
31,Joiz,TV,,SD,0x004A,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0005,0x85,Sat,12460,H,27500,auto,DVB-S,FTA
32,SIXX,TV,,SD,0x0308,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0005,0x85,Sat,12460,H,27500,auto,DVB-S,FTA
33,tagesschau24,TV,ARD,SD,0x7031,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x041B,0x01,Sat,10744,H,22000,auto,DVB-S,FTA
34,EinsFestival HD,TV,ARD,HD,0x6EEC,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x04B1,0x01,Sat,12422,H,27500,auto,DVB-S,FTA
35,EinsPlus,TV,ARD,SD,0x7033,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x041B,0x01,Sat,10744,H,22000,auto,DVB-S,FTA
36,PHOENIX HD,TV,,HD,0x285B,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0401,0x01,Sat,11582,H,22000,auto,DVB-S2,FTA
37,DMAX,TV,,SD,0x003F,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0021,0x85,Sat,12480,V,27500,auto,DVB-S,FTA
38,rfo Regional Oberbayern,TV,,SD,0x11FD,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03FD,0x01,Sat,11523,H,22000,auto,DVB-S,FTA
39,INTV,TV,,SD,0x11FA,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03FD,0x01,Sat,11523,H,22000,auto,DVB-S,FTA
40,münchen.TV,TV,,SD,0x11FC,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03FD,0x01,Sat,11523,H,22000,auto,DVB-S,FTA
41,DAF,TV,,SD,0x33AB,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03EB,0x01,Sat,11244,H,22000,auto,DVB-S,FTA
42,L-TV / TVM,TV,,SD,0x3339,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA
43,Die neue Zeit,TV,,SD,0x1269,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03F7,0x01,Sat,11421,H,22000,auto,DVB-S,FTA
44,RNF,TV,,SD,0x0300,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0007,0x85,Sat,12148,H,27500,auto,DVB-S,FTA
45,DAS VIERTE,TV,,SD,0x0701,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0005,0x85,Sat,12460,H,27500,auto,DVB-S,FTA
46,ANIXE HD,TV,,HD,0x526C,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x041D,0x01,Sat,10773,H,22000,auto,DVB-S2,FTA
47,TELE 5,TV,BetaDigital,SD,0x0033,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0021,0x85,Sat,12480,V,27500,auto,DVB-S,FTA
48,AstroTV,TV,BetaDigital,SD,0x0295,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0021,0x85,Sat,12480,V,27500,auto,DVB-S,FTA
49,rbb Berlin,TV,ARD,SD,0x6E2E,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0431,0x01,Sat,12110,H,27500,auto,DVB-S,FTA
50,NDR FS MV HD,TV,,HD,0x2858,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0401,0x01,Sat,11582,H,22000,auto,DVB-S2,FTA
51,MDR S-Anhalt,TV,ARD,SD,0x6E45,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0431,0x01,Sat,12110,H,27500,auto,DVB-S,FTA
52,SWR RP HD,TV,,HD,0x2840,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03FB,0x01,Sat,11494,H,22000,auto,DVB-S2,FTA
53,DW-TV Europe,TV,,SD,0x025F,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x3C8C,0x13E,Sat,11604,H,27500,auto,DVB-S,FTA
54,SPORT1,TV,,SD,0x0384,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0021,0x85,Sat,12480,V,27500,auto,DVB-S,FTA
55,Eurosport Deutschland,TV,,SD,0x79E0,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0443,0x01,Sat,12226,H,27500,auto,DVB-S,FTA
56,Super RTL,TV,RTL World,SD,0x2F08,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0441,0x01,Sat,12188,H,27500,auto,DVB-S,FTA
57,KIKA HD,TV,,HD,0x2B98,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03F2,0x01,Sat,11347,V,22000,auto,DVB-S2,FTA
58,NICK/COMEDY,TV,,SD,0x7008,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0436,0x01,Sat,11973,V,27500,auto,DVB-S,FTA
59,DELUXE MUSIC,TV,,SD,0x0041,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0007,0x85,Sat,12148,H,27500,auto,DVB-S,FTA
60,VIVA Germany,TV,,SD,0x7004,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0436,0x01,Sat,11973,V,27500,auto,DVB-S,FTA
61,iM1,TV,,SD,0x0304,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0005,0x85,Sat,12460,H,27500,auto,DVB-S,FTA
62,HC deutsch,TV,,SD,0x0047,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0007,0x85,Sat,12148,H,27500,auto,DVB-S,FTA
63,Bibel TV,TV,,SD,0x2F5A,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0454,0x01,Sat,12552,V,22000,auto,DVB-S,FTA
64,ERF,TV,,SD,0x0030,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x044E,0x01,Sat,12460,H,27500,auto,DVB-S,FTA
65,K-TV,TV,,SD,0x3139,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0459,0x01,Sat,12633,H,22000,auto,DVB-S,FTA
66,HSE24 Extra HD,TV,,SD,0x79EA,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0443,0x01,Sat,12226,H,27500,auto,DVB-S,FTA
67,1-2-3.tv HD,TV,,HD,0x157E,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x157C,0x01,Sat,10803,H,22000,auto,DVB-S2,FTA
68,MediaShop meine Ein.,TV,,SD,0x0307,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0007,0x85,Sat,12148,H,27500,auto,DVB-S,FTA
69,HSE24 HD,TV,,HD,0x5270,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x041D,0x01,Sat,10773,H,22000,auto,DVB-S2,FTA
70,Sonnenklar.TV HD,TV,,HD,0x1518,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0455,0x01,Sat,12574,H,22000,auto,DVB-S2,FTA
71,QVC HD,TV,,HD,0x526F,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x041D,0x01,Sat,10773,H,22000,auto,DVB-S2,FTA
72,RTL CH,TV,,SD,0x7099,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0443,0x01,Sat,12226,H,27500,auto,DVB-S,FTA
73,RTL 2 CH,TV,,SD,0x3070,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03F5,0x01,Sat,11391,H,22000,auto,DVB-S,FTA
74,SAT.1 CH,TV,ProSiebenSat.1,SD,0x4E26,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x043A,0x01,Sat,12051,V,27500,auto,DVB-S,FTA
75,ProSieben Schweiz,TV,ProSiebenSat.1,SD,0x4E21,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x043A,0x01,Sat,12051,V,27500,auto,DVB-S,FTA
76,Kabel 1 Schweiz,TV,ProSiebenSat.1,SD,0x4E23,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x043A,0x01,Sat,12051,V,27500,auto,DVB-S,FTA
77,Super RTL CH,TV,,SD,0x2F09,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0441,0x01,Sat,12188,H,27500,auto,DVB-S,FTA
78,VOX CH,TV,,SD,0x7094,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0443,0x01,Sat,12226,H,27500,auto,DVB-S,FTA
79,ORF 2 Europe,TV,,SD,0x32D6,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0X045D,0x01,Sat,12692,H,22000,auto,DVB-S,FTA
80,Hitradio OE3,TV,,SD,0x32D5,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0X045D,0x01,Sat,12692,H,22000,auto,DVB-S,FTA
81,ORF 1 HD,TV,,HD,0x132F,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03EF,0x01,Sat,11303,H,22000,auto,DVB-S2,FTA
82,ORF 2 HD,TV,,HD,0x1330,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03EF,0x01,Sat,11303,H,22000,auto,DVB-S2,FTA
83,ORF III,TV,,SD,0x332D,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA
84,ATV HD,TV,,HD,0x33AC,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03EB,0x01,Sat,11244,H,22000,auto,DVB-S2,FTA
85,ATV 2,TV,,SD,0x33A7,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03EB,0x01,Sat,11244,H,22000,auto,DVB-S,FTA
86,ORF Sport +,TV,,SD,0x33A5,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03EB,0x01,Sat,11244,H,22000,auto,DVB-S,FTA
87,Puls 4 Austria,TV,,SD,0x4E27,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0X043A,0x01,Sat,12051,V,27500,auto,DVB-S,FTA
88,LT1-OOE,TV,,SD,0X3330,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA
89,BTV,TV,,SD,0x3355,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA
90,GoTV,TV,,SD,0x332E,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA
91,RTS Un HD,TV,,HD,0x4333,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x300C,0x13E,Sat,10971,H,29700,auto,DVB-S2,VA
92,RTS Deux HD,TV,,HD,0x4334,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x300C,0x13E,Sat,10971,H,29700,auto,DVB-S2,VA
93,RSI LA 1 HD,TV,,HD,0x36E3,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x06A4,0x13E,Sat,11526,H,27500,auto,DVB-S,VA
94,RSI LA 2 HD,TV,,HD,0x03B7,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x2134,0x13E,Sat,12399,H,27500,auto,DVB-S,VA
95,BBC World,TV,BBC,SD,0x2742,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0402,0x01,Sat,11597,V,22000,auto,DVB-S,FTA
96,EuroNews,TV,GlobeCast,SD,0x79F4,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0443,0x01,Sat,12226,H,27500,auto,DVB-S,FTA
97,CNN Int.,TV,CNN,SD,0x6F6A,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x042C,0x01,Sat,11778,V,27500,auto,DVB-S,FTA
98,CNBC Europe,TV,CNBC,SD,0x272E,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0402,0x01,Sat,11597,V,22000,auto,DVB-S,FTA
